Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gillian-ankle-boot,,,,,,,,Color,Boss Suede,Size,9.5,,,1313842BBB095,453,shopify,1,deny,manual,159.20,398.00,TRUE,TRUE,,,,,,,,,g,,,
gillian-ankle-boot,,,,,,,,Color,Boss Suede,Size,10.5,,,1313842BBB105,453,shopify,1,deny,manual,159.20,398.00,TRUE,TRUE,,,,,,,,,g,,,
margaux-regenerative-merino-mock-neck-sweater,Margaux Regenerative Merino Mock Neck Sweater,<p></p>,Homeboy Threads,,Sweatshirts,"private, designer-donated",TRUE,Color,Cream,Size,L,,,1315969CRM00L,453,shopify,1,deny,manual,59.20,148.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/5864D0D1-A641-438D-9F46-7F3B8234F616.png?v=1762980094,1,Margaux Regenerative Merino Mock Neck Sweater,FALSE,Margaux Regenerative Merino Mock Neck Sweater | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
margaux-regenerative-merino-mock-neck-sweater,,,,,,,,Color,Cream,Size,M,,,1315969CRM00M,453,shopify,1,deny,manual,59.20,148.00,TRUE,TRUE,,,,,,,,,g,,,
margaux-regenerative-merino-mock-neck-sweater,,,,,,,,Color,Cream,Size,XL,,,1315969CRM0XL,453,shopify,1,deny,manual,59.20,148.00,TRUE,TRUE,,,,,,,,,g,,,
margaux-regenerative-merino-mock-neck-sweater,,,,,,,,Color,Cream,Size,XS,,,1315969CRM0XS,453,shopify,1,deny,manual,59.20,148.00,TRUE,TRUE,,,,,,,,,g,,,
jaelynn-knit-dress,Jaelynn Knit Dress,<p></p>,Homeboy Threads,,Dresses,"private, designer-donated",TRUE,Color,Black Silver Sparkle,Size,L,,,1314131VKR00L,453,shopify,1,deny,manual,59.20,148.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/145D4BC6-8A04-4BFB-9AA5-15EBE6465307.png?v=1762979979,1,Jaelynn Knit Dress,FALSE,Jaelynn Knit Dress | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
jaelynn-knit-dress,,,,,,,,Color,Black Silver Sparkle,Size,M,,,1314131VKR00M,453,shopify,1,deny,manual,59.20,148.00,TRUE,TRUE,,,,,,,,,g,,,
jaelynn-knit-dress,,,,,,,,Color,Black Silver Sparkle,Size,S,,,1314131VKR00S,453,shopify,1,deny,manual,59.20,148.00,TRUE,TRUE,,,,,,,,,g,,,
jaelynn-knit-dress,,,,,,,,Color,Black Silver Sparkle,Size,XS,,,1314131VKR0XS,453,shopify,1,deny,manual,59.20,148.00,TRUE,TRUE,,,,,,,,,g,,,
defina-knit-dress,Defina Knit Dress,<p></p>,Homeboy Threads,,Dresses,"private, designer-donated",TRUE,Color,Mole,Size,L,,,1314624OOL00L,453,shopify,1,deny,manual,71.20,178.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/096A51F9-2024-4D56-AF7D-25B11DE27E30.png?v=1762979791,1,Defina Knit Dress,FALSE,Defina Knit Dress | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
